videoID,Comment,publishedAt,Channel,Label,Label2,Label3
LFnUJX_UB_8,"ðŸ˜³  WTF?  There Are Now 169,416 Confirmed Cases #Worldwide, Including 6,536 Fatalities 3.9%.There Have Now Been 3,676 Instances Of Coronavirus In The United States Across ALL 50 United States! 3,676 Confirmed Cases 76 Confirmed Deaths 2.1%...    The First Known U.S. Coronavirus Case Was Announced On January 21 2020 In Washington State, But The Pace Of Diagnosis Has Quickened Significantly In Recent Weeks, And Accelerated Most Dramatically In Just The Past Few Days.    At The Start Of This Month ""March"", 70 Cases Had Been Reported In The United States, Most Of Them Tied To Overseas Travel. Since Then, New Cases Have Poured In, First By The Dozens, Then The Hundreds.    About half of the known cases were in Washington State, California and New York. But by Saturday, hundreds of others had been diagnosed across the country, including in every state but West Virginia. Puerto Rico announced its first confirmed cases on Friday. Louisiana, which at the start of the week had no known cases, had 77 by Saturday evening. The first two deaths in New York were announced on Saturday.    Across the country, everyday life continued to change. Businesses and school districts closed. Colleges canceled class. Governors urged people to avoid crowds. Long-planned St. Patrickâ€™s Day parades were skipped.    10-year Mortality Rate For Flu Using CDC Data Confirmed It Was 0.1%. Itâ€™s important to note that, although this percentage seems like a small number, Influenza is responsible for an estimated 40,000 to 60,000 #Deaths #Annually.    Current #Coronavirus #Mortality #Rate - World= 3.9%, #Current US Mortality Rate = 2.1%...    The Coronavirus COVID-19 Is Affecting 158 Countries And Territories Around The World And 2 International Conveyance (The #Diamond #Princess #Cruise #Ship Harbored In #Yokohama, #Japan, And The #Grand Princess Cruise Ship.)....    (2019- #nCoV, Officially Known As #SARS- #CoV-2 or COVID-19). ""This Is The First #Pandemic Caused By Coronavirus,"" Said #WHO #Director-#General #Tedros #Adhanom #Ghebreyesus.    #Outbreak: WHO Declares #COVID-19 A #Global Pandemic    #Toilet #Paper #Shortage #Epidemic #Pandemic #WHO #Outbreak:#COVID #Global #SHTF #ChinaVirus #StayHome #RIP #CDC #DHS #Challenge #Life #ALWAYS #onelove #PEACE #Flu #CHEERS #Gym #Fit #Prepper #Family #US #Trump #Fake #News #Influenza #World #Health #Organization #Confirmed #Meme #Pence #Facts #StayHome #BuyUsTime #WashYourHands #CloseTheSchools #SuperSpreader",2020-03-16T00:04:07Z,abcNews,Hate,Non-hate,Non-hate
nMv1F6BXcEE,#MAKECHINAPAY This is too much already.,2020-04-24T17:04:48Z,abcNews,Hate,,Hate
dRAiDFDH710,"*The vaccine will be the Red Pill.* Y'all fought it for so long, that now the US Military will be the ones to deliver -it- JUSTICE. We're fighting Communism -- _Global_ Communism -- and 'they' are pulling out all the stops to sew chaos and remain in Power. Stay vigilant! *Those fires didn't light themselves.* #WWG1WGA #StormIsComing #COVID19 #CoronaVirus #CHINAvirus #Communism #ANTIFA #ViolentProtests #ColorRevolution #BLM #GeorgeSoros #DomesticTerrorism",2020-09-17T03:43:21Z,abcNews,Hate,,Hate
sgfsi7_n0RU,#MakeChinaPay,2020-04-10T00:32:30Z,abcNews,Hate,,Hate
TMdVsR2SH_4,#chinavirus #vengeancefuckchinagovs #fuckcomunism,2020-03-30T01:18:17Z,Breitbart,Hate,,Hate
9oFLmdix_mE,#makechinapay,2020-04-04T05:57:43Z,cbsNews,Hate,,Hate
QVJZtt3EC3M,#MakeChinapay,2020-04-20T09:38:20Z,CNN,Hate,,Hate
QVJZtt3EC3M,It is a bio-weapon leaked by CCP. China will never admit this no matter what. #ccpvirus #coronavirus #chinavirus,2020-04-17T19:14:03Z,CNN,Hate,,Hate
QVJZtt3EC3M,Fkn liars #fuckChina,2020-04-17T11:59:08Z,CNN,Hate,,Hate
1rJH6cai-fs,#MakeChinaPay and punish #WuhanHealthOrganization   #ChinaLiedandPeopleDied,2020-04-01T18:52:38Z,CNN,Hate,,Hate
